directory	srr_id	in_sample_list	in_sra_dir
Premalignant/Esophagus	ERR1141678	1	0
Premalignant/Esophagus	ERR1141679	1	0
Premalignant/Esophagus	ERR1141680	1	0
Premalignant/Esophagus	ERR1141681	1	0
Premalignant/Esophagus	ERR1141682	1	0
Premalignant/Esophagus	ERR1141683	1	0
Premalignant/Esophagus	ERR1141684	1	1
Premalignant/Esophagus	ERR1141685	1	0
Premalignant/Esophagus	ERR1141686	1	0
Premalignant/Esophagus	ERR1141687	1	0
Premalignant/Esophagus	ERR1141688	1	1
Premalignant/Esophagus	ERR1141689	1	0
Premalignant/Esophagus	ERR1141691	1	0
Premalignant/Esophagus	ERR1141693	1	0
Premalignant/Esophagus	ERR1141694	1	0
Premalignant/Esophagus	ERR1141695	1	1
Premalignant/Esophagus	ERR1141696	1	0
Premalignant/Esophagus	ERR1141698	1	0
Premalignant/Esophagus	ERR1141701	1	0
Premalignant/Esophagus	ERR1141702	1	0
Premalignant/Esophagus	ERR3728072	1	0
Premalignant/Esophagus	ERR3728073	1	0
Premalignant/Esophagus	ERR3728074	1	0
Premalignant/Esophagus	SRR17658172	1	0
Premalignant/Esophagus	SRR17658173	1	0
Premalignant/Esophagus	SRR17658174	1	1
Premalignant/Esophagus	SRR17658175	1	0
Premalignant/Esophagus	SRR17658176	1	0
Premalignant/Esophagus	SRR17658177	1	0
Premalignant/Esophagus	SRR17658178	1	0
Premalignant/Esophagus	SRR17658179	1	0
Premalignant/Esophagus	SRR17658180	1	0
Premalignant/Esophagus	SRR17658181	1	0
Premalignant/Esophagus	SRR17658182	1	0
Premalignant/Esophagus	SRR17658183	1	0
Premalignant/Esophagus	SRR17658184	1	0
Premalignant/Esophagus	SRR17658185	1	0
Premalignant/Esophagus	SRR17658186	1	0
Premalignant/Esophagus	SRR17658187	1	0
Premalignant/Esophagus	SRR17658188	1	0
Premalignant/Esophagus	SRR17658189	1	0
Premalignant/Esophagus	SRR17658190	1	0
Premalignant/Esophagus	SRR17658191	1	0
Premalignant/Esophagus	SRR17658192	1	0
Premalignant/Esophagus	SRR17658193	1	0
Premalignant/Esophagus	SRR17658194	1	0
Premalignant/Esophagus	SRR17658195	1	0
Premalignant/Esophagus	SRR17658196	1	0
Premalignant/Esophagus	SRR17658197	1	0
Premalignant/Esophagus	SRR17658198	1	0
Premalignant/Esophagus	SRR17658199	1	1
Premalignant/Esophagus	SRR17658200	1	0
Premalignant/Esophagus	SRR17658201	1	0
Premalignant/Esophagus	SRR17658202	1	0
Premalignant/Esophagus	SRR17658203	1	1
Premalignant/Esophagus	SRR17658204	1	1
Premalignant/Esophagus	SRR17658205	1	0
Premalignant/Esophagus	SRR17658206	1	1
Premalignant/Esophagus	SRR17658207	1	0
Premalignant/Esophagus	SRR17658208	1	1
Premalignant/Esophagus	SRR17658209	1	0
Premalignant/Esophagus	SRR17658210	1	0
Premalignant/Esophagus	SRR17658211	1	0
Premalignant/Esophagus	SRR17658212	1	0
Premalignant/Esophagus	SRR17658213	1	0
Premalignant/Esophagus	SRR17658214	1	0
Premalignant/Esophagus	SRR17658215	1	0
Premalignant/Esophagus	SRR17658216	1	0
Premalignant/Esophagus	SRR17658217	1	0
Premalignant/Esophagus	SRR27477615	1	0
Premalignant/Esophagus	SRR27477616	1	1
Premalignant/Esophagus	SRR27477617	1	0
Premalignant/Esophagus	SRR27477618	1	0
Premalignant/Esophagus	SRR27477619	1	1
Premalignant/Esophagus	SRR27477620	1	0
Premalignant/Esophagus	SRR27477621	1	0
Premalignant/Esophagus	SRR27477622	1	0
Premalignant/Esophagus	SRR27477623	1	0
Premalignant/Esophagus	SRR27477624	1	1
Premalignant/Esophagus	SRR27477625	1	0
Premalignant/Esophagus	SRR27477626	1	0
Premalignant/Esophagus	SRR27477627	1	1
Premalignant/Esophagus	SRR27477628	1	0
Premalignant/Esophagus	SRR27477629	1	0
Premalignant/Esophagus	SRR27477630	1	0
Premalignant/Esophagus	SRR27477631	1	0
Premalignant/Esophagus	SRR27477632	1	0
Premalignant/Esophagus	SRR27477633	1	1
Premalignant/Esophagus	SRR27477634	1	0
Premalignant/Esophagus	SRR27477635	1	1
Premalignant/Esophagus	SRR27477636	1	0
Premalignant/Esophagus	SRR27477637	1	0
Premalignant/Esophagus	SRR27477638	1	0
Premalignant/Esophagus	SRR27477639	1	0
Premalignant/Esophagus	SRR27477640	1	1
Premalignant/Esophagus	SRR27477641	1	0
Premalignant/Esophagus	SRR27477642	1	1
Premalignant/Esophagus	SRR27477643	1	1
Premalignant/Esophagus	SRR27477644	1	0
Premalignant/Esophagus	SRR27477645	1	0
Premalignant/Esophagus	SRR27477646	1	0
Premalignant/Esophagus	SRR27477647	1	0
Premalignant/Esophagus	SRR27477648	1	0
Premalignant/Esophagus	SRR27477649	1	1
Premalignant/Esophagus	SRR27477650	1	0
Premalignant/Esophagus	SRR27477651	1	0
Premalignant/Esophagus	SRR27477652	1	0
Premalignant/Esophagus	SRR27477653	1	0
Premalignant/Esophagus	SRR27477654	1	0
Premalignant/Esophagus	SRR27477655	1	0
Premalignant/Esophagus	SRR27477656	1	0
Premalignant/Esophagus	SRR27477657	1	0
Premalignant/Esophagus	SRR27477658	1	1
Premalignant/Esophagus	SRR27477659	1	0
Premalignant/Esophagus	SRR27477660	1	1
Premalignant/Esophagus	SRR27477661	1	0
Premalignant/Esophagus	SRR27477662	1	0
Premalignant/Esophagus	SRR27477663	1	0
Premalignant/Esophagus	SRR27477664	1	0
Premalignant/Esophagus	SRR27477665	1	1
Premalignant/Esophagus	SRR27477666	1	0
Premalignant/Esophagus	SRR27477667	1	0
Premalignant/Esophagus	SRR27477668	1	0
Premalignant/Esophagus	SRR27477669	1	0
Premalignant/Esophagus	SRR27477670	1	0
Premalignant/Esophagus	SRR27477671	1	0
Premalignant/Esophagus	SRR27477672	1	0
Premalignant/Esophagus	SRR27477673	1	0
