srr_id,in_sample_list,in_Pancreas_SRA,in_Pancreas_SRA2,in_any_reference
SRR30063818,0,0,1,1
SRR30063819,0,0,1,1
SRR30063820,0,0,1,1
SRR30063821,0,0,1,1
SRR30063822,0,0,1,1
SRR30063823,0,0,1,1
SRR30063824,0,0,1,1
SRR30063825,0,0,1,1
SRR30063826,0,0,1,1
SRR30063827,0,0,1,1
SRR30063828,0,0,1,1
SRR30063829,0,0,1,1
SRR30063830,0,0,1,1
SRR30063831,0,0,1,1
SRR30063832,0,0,1,1
SRR30063833,0,0,1,1
SRR30063834,0,0,1,1
SRR30063835,0,0,1,1
SRR30063836,0,0,1,1
SRR30063837,0,0,1,1
SRR30063838,0,0,1,1
SRR30063839,0,0,1,1
SRR30063840,0,0,1,1
SRR30694397,1,1,0,1
SRR30694398,1,1,0,1
SRR30694399,1,1,0,1
SRR30694400,1,1,0,1
SRR30694401,1,1,0,1
SRR30694402,1,1,0,1
SRR30694403,1,1,0,1
SRR30694404,1,1,0,1
SRR30694405,1,1,0,1
SRR30694406,1,1,0,1
SRR30694407,1,1,0,1
SRR30694408,1,1,0,1
SRR30694409,1,1,0,1
SRR30694410,1,1,0,1
SRR30694411,1,1,0,1
SRR30694412,1,1,0,1
SRR30694413,1,1,0,1
SRR30694414,1,1,0,1
SRR30694415,1,1,0,1
SRR30694416,1,1,0,1
SRR30694417,1,1,0,1
SRR30694418,1,1,0,1
SRR30694419,1,1,0,1
SRR30694420,1,1,0,1
SRR30694421,1,1,0,1
SRR30694422,1,1,1,1
SRR30694423,1,1,0,1
SRR30694424,1,1,0,1
SRR30694425,1,1,0,1
SRR30694426,1,1,0,1
SRR30694427,1,1,0,1
SRR30694428,1,1,0,1
SRR30694429,1,1,0,1
SRR30694430,1,1,0,1
SRR30694431,1,1,0,1
SRR30694432,1,1,0,1
SRR30694433,1,1,0,1
SRR30694434,1,1,0,1
SRR30694435,1,1,0,1
SRR30694436,1,1,0,1
SRR30694437,1,1,0,1
SRR30694438,1,1,0,1
SRR30694439,1,1,0,1
SRR30694440,1,1,0,1
SRR3426643,1,1,0,1
SRR3426644,1,1,0,1
SRR3426653,1,1,0,1
SRR3426654,1,1,0,1
SRR3426655,1,1,0,1
SRR3426656,1,1,0,1
SRR3426657,1,1,0,1
SRR3426658,1,1,0,1
SRR34554384,1,1,0,1
SRR34554385,1,1,0,1
SRR34554386,1,1,0,1
SRR34554387,1,1,0,1
SRR34554388,1,1,0,1
SRR34554389,1,1,0,1
SRR7768608,1,1,0,1
SRR7768609,1,1,0,1
SRR7768610,1,1,1,1
SRR7768611,1,1,0,1
SRR7768612,1,1,0,1
SRR7768613,1,1,0,1
SRR7818905,1,1,0,1
SRR7818906,1,1,0,1
SRR7818907,1,1,0,1
SRR7818908,1,1,0,1
SRR7818909,1,1,0,1
SRR7818910,1,1,0,1
SRR7818911,1,1,0,1
SRR7818912,1,1,0,1
SRR7818913,1,1,0,1
SRR7818914,1,1,0,1
SRR9043607,1,1,0,1
SRR9043608,1,1,0,1
SRR9043609,1,1,0,1
SRR9043610,1,1,0,1
SRR9043611,1,1,0,1
SRR9043612,1,1,0,1
SRR9043613,1,1,0,1
SRR9043614,1,1,0,1
SRR9043615,1,1,0,1
SRR9043616,1,1,0,1
SRR9043617,1,1,1,1
SRR9043618,1,1,0,1
SRR9043619,1,1,0,1
SRR9043620,1,1,0,1
SRR9043621,1,1,0,1
SRR9043622,1,1,0,1
SRR9043623,1,1,0,1
SRR9043624,1,1,0,1
SRR9043625,1,1,0,1
SRR9043626,1,1,0,1
SRR9043627,1,1,0,1
SRR9043628,1,1,0,1
SRR9043629,1,1,0,1
SRR9043630,1,1,0,1
SRR9043631,1,1,0,1
SRR9043632,1,1,0,1
SRR9043633,1,1,0,1
SRR9043634,1,1,0,1
SRR9043635,1,1,0,1
SRR9043636,1,1,1,1
SRR9043637,1,1,0,1
SRR9043638,1,1,0,1
SRR9043639,1,1,0,1
SRR9043640,1,1,0,1
SRR9043641,1,1,0,1
SRR9043642,1,1,0,1
SRR9043643,1,1,0,1
